    117,Ewing sarcoma, pain; tender warm; swollen; ostemyelitis,Vincristine 1.5mg/m;Adriamycin 30mg/m; Cyclophosphamide 1 g/m,good to maintain a healthy weight;quit smoking or using tobacco;
    118,Malaria,malaise; fever; fatigue; muscle pain; nausea; anorexia; chill; rigors; sweats; headache; cough; vomiting ,Artemether 20mg; Lumefantrine 120mg,Wear light; loose-fitting trousers rather than shorts;Use insect repellent on your skin; sleep under an intact mosquito net; avoid mosquito bites completely
    119,Severe Malaria, weakness; Bleeding tendency; Circulatory collapse; Vomiting; Inability to drink; Inability to  breast feed,Artesunate IM/rectal;Quinine IM;Quinine Dihydrochloride injection (300 mg/ml),Load up on fluids;Work on your vitamins;Control your fats intake;Keep a check on the protein intake
    120,TUBERCULOSIS,Cough; Fever; Night sweats; Haemoptysis;(sputum mixed with blood stains); Loss of weight,BCG vaccination;Isoniazid (O) 10 mg/kg,cover mouth and nose when coughing; Wear a mask or respirator prior to room entry;use N95 or higher respiratory protection
    121,LEPROSY,Burning sensations in the skin; Pale patches on the skin with loss of feeling; Weakness of eyelids; Tender nerves,Rifampicin;Clofazimine;Ofloxacin;Minocycline,Isolation and restriction;including management of immunological reactions;a patient with untreated lepromatous leprosy should be isolated
    122,MULTIBACILLARY (MB) LEPROSY, leprosy skin lesions; Positive skin smear,:Rifampicin 600mg;Clofazemine 300mg ;Dapsone 100mg;Clofazemine 50mg ;,Household contacts of patients with leprosy should be monitored closely for the development of leprosy signs and symptoms.Public education and community awareness are crucial
    123,STI in men,Genital ulcers; erosion,Benzathine penicillin 2.4 MU; Co-trimaxazole 8 x 480 mg; Gentian violet 0.5-1.0% to ulcers; Doxycyline (O) 100mg,limiting the number of people you have sex with;talking honestly with potential partners about your sexual history
    124,STI in women,Lower abdominal pain ; vaginal/cervical discharge,Co-trimoxazole (O) ;Doxycycline (O)100mg; Metronidazole (O),avoiding sex when under the influence of alcohol or drugs;Use condoms when you have sex
    125,Chancroid,Presence of painful genital ulcers ; easily bleeds on touch ,Co-trimoxazole (O) 960 mg; Erythromycin (O) 500 mg; Ciprofloxacin (O) 250 mg,do not use drug and alcohol;not involve in multiple partners;avoid sex with commercial sex workers
    126,Epidymo-Orchitis,inflammation of  epididymis;  testis and spermatic cord; swollen and tender epididymis,Doxycycline (O) 100mg ; Co-trimoxazole 960 mg; Diclofenac 50-100mg; Erythromycin (O) 500mg; Azithromycin 500mg; Kanamycin (IM) 2g,must go to the wash room before you start your work out;Drink lots of water; put your scrotum in an elevating position;
    127,Chlamydia infections,Presence of scanty to moderate white mucoid or serous discharge,Ciprofloxacin (O) 500mg 12hrly for 3 days.Doxycycline,Using condoms during every sexual encounter;Limiting the number of sex partners;Undergoing regular screenings
    128,Syphilis,Rhinitis; Mucocutaneous lesions;  painless chancre; Interstitis; photophobia; corneal infection,Benzathine penicillin 2.4 MU;Erythromycin 500 mg; Doxycycline 100mg; Benzyl Penicillin; Procaine benzylpenicillin; Erythromycin ; Azithromycin,safe sex ;The usage of nectar; cocoa rice; wheat; grain; gnawing vegetables; and sustenance cooked in sesame oil
    129,Genital Warts, infecting the skin or mucous membrane; genital region, hands and legs are affected asymptomatic fleshygrowths,Podophyllin10-25%;Silver Nitrate to the warts;Salicylic acid to the warts:5% Imiquimod cream,Do not apply the cream on healthy surrounding skin;Stop smoking.;Always use condoms;dental dams during oral; anal; and vaginal sex;Don't have sex when you have visible warts; even with a condom
    130,TRICHOMONIASIS, inflammation of vagina and cervix ; inflammation of urethra and prostate gland,:Metronidazole 400mg ;Tinidazole 2gm stat;Secnidazole 2gm stat,Extra precautions should be taken when engaging in sexual intercourse;Gynecologists and obstetricians should take additional precautions in patients with vaginitis
    131,VAGINAL CANDIDIASIS, pruritic; curd-like vaginal discharge; dysuria; dyspareunia; fever;  toxicity,Nystatin Pessaries insert 1; Clotrimazole pessaries/vaginal cream;Miconazole Pessaries/vaginal cream;Ketoconazole200-600mg;Fluconazole 200mg,maintain personal hygine;keep your private parts dry;
    132,Measles, fever;  maculopaular;  lacrimation;  photophobia;  copius nasal discharge;  koplik spots;  tearing; eyelid oedema,Paracetamol; Vitamin A 200;000 IU orally; Tetracycline eye ointment;,Give extra fluid and food; Wash your hands often.Don’t touch your eyes; nose; or mouth. If you need to touch your face; make sure your hands are clean;If soap and water aren’t available; clean your hands with hand sanitizer;Try to avoid close contact; such as kissing; hugging; or sharing eating utensils or cups; with people who are sick
    133,Leishmaniasis,fever; splenomegaly; enlarged liver; lymphadenopathy; single or multiple lesions,Sodium stibogluconate; Pentamidine Isethionate,Avoid outdoor activities; especially from dusk to dawn; Minimize the amount of exposed (uncovered) skin;Apply insect repellent to exposed skin and under the ends of sleeves and pant legs
    134,Trypanosomiasis, fever; lymphadenopathy; headache; mental confusion; tremors; pyresis,Suramin 20mg/Kg ; Melarsoprol 100mg ; Pentamidine isethionate,avoid the areas that are heavily infested; Wear long-sleeved shirts and pants of medium-weight material in neutral colors; Use insect repellent
    135,Anthrax, itching; a malignant pustule; pyrexia; pulmonary; gastrointestinal signs,Benzylpenicillin; Phenoxymethylpenicillin; Erythromycin,Avoid all contact with blood and body fluids by the use of PPE; e.g. gloves and apron ; . In theatre; standard surgical masks should be used ; ; wash hands with liquid soap and water
    136,Mastitis, tenderness; swelling; red; warm; fever; painful lymph nodes,Erythromycin 500 mg; Flucloxacillin500 mg; Acetylsalicylic acid 600 mg,avoid a poorly fitting bra; sleeping on your stomach; encourage your baby to feed frequently on that side;Use gentle massage or pressure on the part of the breast where the milk is backed up
